gamePk,home_team_id,home_batting_player_avg,home_batting_player_OPS,home_batting_player_K_rate,home_batting_player_BB_rate,home_batting_player_productive_outs,home_batting_player_homeRuns,home_batting_player_hits,home_batting_player_rbi,home_batting_player_doubles,home_batting_player_triples,home_batting_player_singles,away_team_id,away_batting_player_avg,away_batting_player_OPS,away_batting_player_K_rate,away_batting_player_BB_rate,away_batting_player_productive_outs,away_batting_player_homeRuns,away_batting_player_hits,away_batting_player_rbi,away_batting_player_doubles,away_batting_player_triples,away_batting_player_singles
744795,120,0.08333333333333333,0.2962962962962963,0.2222222222222222,0.14814814814814814,0,0,2,0,0,0,2,118,0.18333333333333332,0.4666666666666666,0.15833333333333333,0.075,0,0,7,3,1,0,6
744796,120,0.21296296296296294,0.5277777777777778,0.16666666666666666,0.027777777777777776,1,1,7,4,0,0,6,118,0.24696969696969698,0.6742424242424242,0.07564102564102565,0.1564102564102564,1,1,8,7,0,0,7
744797,120,0.41111111111111115,1.0333333333333334,0.09444444444444446,0.09444444444444446,1,1,16,8,2,0,13,143,0.125,0.4375,0.22916666666666666,0.10416666666666667,0,1,4,1,0,0,3
744798,120,0.3424242424242424,0.8151515151515152,0.3060606060606061,0.022727272727272728,0,1,11,3,0,1,9,143,0.2583333333333333,0.5900000000000001,0.20757575757575755,0.1318181818181818,0,0,9,6,1,0,8
744799,120,0.287037037037037,0.8796296296296295,0.39814814814814814,0.08333333333333333,0,2,9,6,0,1,6,143,0.15740740740740738,0.5,0.3083333333333333,0.05,0,1,5,3,0,1,3
744800,120,0.14814814814814814,0.45370370370370366,0.2777777777777778,0.027777777777777776,0,1,4,2,0,0,3,146,0.24305555555555555,0.5763888888888888,0.125,0.027777777777777776,0,1,8,1,0,0,7
744801,120,0.2685185185185185,0.8703703703703703,0.12962962962962962,0.12037037037037036,0,2,8,4,1,0,5,146,0.17948717948717946,0.4487179487179487,0.17948717948717946,0.038461538461538464,1,1,6,3,0,0,5
744802,120,0.12878787878787878,0.3409090909090909,0.29545454545454547,0.07575757575757575,0,0,5,0,1,0,4,118,0.2111111111111111,0.4847222222222222,0.3194444444444444,0.075,0,0,8,0,0,0,8
744803,120,0.25,0.8518518518518517,0.2777777777777778,0.027777777777777776,0,3,8,4,1,0,4,146,0.175,0.41666666666666663,0.36666666666666664,0.025,0,0,6,1,2,0,4
744804,120,0.3611111111111111,0.8981481481481483,0.28703703703703703,0.0,0,1,13,4,2,0,10,144,0.18518518518518517,0.4722222222222222,0.25,0.027777777777777776,0,0,6,1,3,0,3
744805,120,0.18518518518518517,0.5092592592592592,0.2037037037037037,0.05555555555555555,0,0,6,3,3,0,3,146,0.303030303030303,0.6954545454545454,0.1318181818181818,0.018181818181818184,3,0,8,5,1,0,7
744806,120,0.24166666666666664,0.5833333333333333,0.05,0.06666666666666667,0,0,5,0,1,0,4,112,0.3878787878787879,0.9242424242424243,0.19696969696969696,0.09393939393939393,0,0,17,12,4,0,13
744807,120,0.075,0.30833333333333335,0.25,0.14393939393939392,0,0,3,0,3,0,0,144,0.335,1.0183333333333333,0.14242424242424243,0.10151515151515152,0,4,15,12,3,0,8
744808,120,0.30925925925925923,0.8074074074074074,0.2222222222222222,0.10555555555555556,0,1,10,2,1,0,8,112,0.23148148148148145,0.537037037037037,0.19444444444444445,0.05555555555555555,1,0,7,3,1,0,6
744809,120,0.32407407407407407,0.8148148148148148,0.275,0.15833333333333333,0,1,10,4,1,0,8,147,0.225,0.6083333333333334,0.215,0.075,0,1,7,2,0,0,6
744810,120,0.29500000000000004,0.8166666666666667,0.27121212121212124,0.14393939393939392,0,1,8,6,2,0,5,112,0.2740740740740741,0.7962962962962963,0.3277777777777778,0.08333333333333333,0,1,9,7,3,0,5
744811,120,0.21296296296296294,0.6759259259259259,0.2685185185185185,0.027777777777777776,0,2,7,3,2,0,3,147,0.2833333333333333,0.6566666666666666,0.16999999999999998,0.095,0,0,8,1,2,0,6
744812,120,0.35185185185185186,0.9074074074074073,0.05555555555555555,0.05555555555555555,0,1,12,6,3,0,8,115,0.16666666666666666,0.4166666666666667,0.2222222222222222,0.027777777777777776,0,0,6,1,2,0,4
744813,120,0.15833333333333333,0.65,0.125,0.075,0,2,5,2,2,0,1,147,0.3592592592592593,1.0370370370370372,0.17222222222222222,0.07222222222222223,2,3,12,5,1,0,8
744814,120,0.15,0.4666666666666666,0.17424242424242423,0.13636363636363635,0,1,5,1,2,0,2,115,0.2611111111111111,0.6111111111111112,0.23888888888888887,0.07777777777777778,0,0,10,2,1,0,9
744815,120,0.32407407407407407,0.8685185185185185,0.17222222222222222,0.09444444444444446,0,1,11,8,2,0,8,115,0.2037037037037037,0.6759259259259259,0.4074074074074074,0.05555555555555555,0,2,6,3,1,0,3
744816,120,0.23166666666666663,0.6666666666666666,0.045,0.11000000000000001,0,1,9,4,2,0,6,108,0.2666666666666667,0.7814814814814814,0.1037037037037037,0.27037037037037037,0,0,9,4,2,0,7
744817,120,0.37,1.215,0.20833333333333334,0.15,1,3,15,11,4,1,7,137,0.24629629629629632,0.8166666666666667,0.25,0.05,0,2,9,4,3,0,4
744818,120,0.185,0.37,0.18181818181818182,0.11363636363636363,2,0,7,3,0,0,7,108,0.24666666666666667,0.5783333333333334,0.28500000000000003,0.02,0,1,10,2,0,0,9
744819,120,0.1962962962962963,0.5129629629629631,0.18333333333333335,0.15,2,1,7,5,0,0,6,137,0.3055555555555555,0.775,0.2222222222222222,0.11388888888888889,0,0,13,8,4,0,9
