gamePk,team_side,team_id,team_name,atBats,hits,doubles,triples,homeRuns,rbi,strikeOuts,baseOnBalls,avg,obp,slg,ops,stolenBases,caughtStealing,plateAppearances,leftOnBase
745444,away,119,Los Angeles Dodgers,33,7,0,0,0,4,7,9,.212,.378,.212,.590,1,0,45,28
745444,home,135,San Diego Padres,30,4,0,0,0,1,6,4,.133,.235,.133,.368,0,0,34,11
746175,away,135,San Diego Padres,43,18,3,1,1,14,8,6,.301,.391,.411,.802,1,0,53,26
746175,home,119,Los Angeles Dodgers,42,16,3,0,1,11,9,6,.307,.421,.387,.808,0,0,50,25
747060,away,108,Los Angeles Angels,28,2,1,0,1,2,14,3,.071,.161,.214,.375,0,0,31,6
747060,home,110,Baltimore Orioles,33,10,2,0,2,11,5,6,.303,.390,.545,.935,1,0,41,17
746737,away,120,Washington Nationals,32,6,0,0,1,2,9,0,.188,.188,.281,.469,0,0,32,5
746737,home,113,Cincinnati Reds,34,10,3,0,2,8,9,2,.294,.351,.559,.910,3,0,37,12
745445,away,137,San Francisco Giants,32,9,2,0,1,4,10,1,.281,.294,.438,.732,0,1,35,12
745445,home,135,San Diego Padres,32,9,1,0,0,5,7,3,.295,.377,.381,.758,2,0,35,15
746165,away,138,St. Louis Cardinals,31,3,0,0,1,1,6,1,.097,.125,.194,.319,1,0,32,8
746165,home,119,Los Angeles Dodgers,31,10,2,0,2,7,10,4,.311,.412,.443,.855,0,0,36,12
745116,away,141,Toronto Blue Jays,32,7,1,0,3,8,7,7,.219,.375,.531,.906,0,0,40,11
745116,home,139,Tampa Bay Rays,33,8,3,0,1,2,11,2,.242,.286,.424,.710,1,1,35,15
746335,away,142,Minnesota Twins,37,10,1,0,1,3,12,5,.270,.357,.378,.735,0,0,42,22
746335,home,118,Kansas City Royals,31,5,2,0,1,1,8,1,.161,.188,.323,.511,0,0,32,9
746821,away,116,Detroit Tigers,32,6,0,0,0,1,11,1,.188,.229,.188,.417,1,0,35,11
746821,home,145,Chicago White Sox,30,3,0,0,0,0,11,0,.100,.100,.100,.200,0,0,30,6
746089,away,134,Pittsburgh Pirates,44,9,2,0,3,6,17,8,.205,.327,.455,.782,0,0,52,29
746089,home,146,Miami Marlins,41,8,2,0,0,5,7,4,.195,.292,.244,.536,1,0,48,28
746418,away,147,New York Yankees,31,8,1,0,1,5,10,9,.258,.429,.387,.816,0,0,42,22
746418,home,117,Houston Astros,38,13,1,0,1,4,7,2,.342,.375,.447,.822,0,0,40,16
745039,away,112,Chicago Cubs,33,6,3,1,0,2,8,5,.182,.300,.333,.633,0,0,40,14
745039,home,140,Texas Rangers,34,8,2,0,2,4,10,6,.235,.341,.471,.812,0,0,42,17
745687,away,114,Cleveland Guardians,35,11,4,1,0,7,7,3,.314,.405,.486,.891,0,1,42,17
745687,home,133,Oakland Athletics,30,4,1,0,0,0,13,1,.133,.161,.167,.328,0,0,31,6
747224,away,115,Colorado Rockies,30,4,2,0,0,1,6,3,.133,.235,.200,.435,0,0,34,13
747224,home,109,Arizona Diamondbacks,40,18,3,0,1,16,9,3,.450,.477,.600,1.077,0,0,44,11
745283,away,111,Boston Red Sox,38,11,2,1,2,6,7,2,.289,.325,.553,.878,3,1,40,18
745283,home,136,Seattle Mariners,34,8,2,0,2,4,9,1,.235,.278,.471,.749,0,0,36,13
745848,away,158,Milwaukee Brewers,32,8,1,0,1,3,7,3,.250,.306,.375,.681,1,0,36,11
745848,home,121,New York Mets,27,1,0,0,1,1,10,2,.037,.103,.148,.251,0,0,29,3
745604,away,144,Atlanta Braves,40,13,6,0,0,8,10,5,.325,.400,.475,.875,1,1,45,20
745604,home,143,Philadelphia Phillies,32,5,0,0,1,3,15,3,.156,.229,.250,.479,2,0,35,11
745848,away,158,Milwaukee Brewers,32,8,1,0,1,3,7,3,.250,.306,.375,.681,1,0,36,11
745848,home,121,New York Mets,27,1,0,0,1,1,10,2,.037,.103,.148,.251,0,0,29,3
745604,away,144,Atlanta Braves,40,13,6,0,0,8,10,5,.325,.400,.475,.875,1,1,45,20
745604,home,143,Philadelphia Phillies,32,5,0,0,1,3,15,3,.156,.229,.250,.479,2,0,35,11
745117,away,141,Toronto Blue Jays,32,6,1,0,1,2,7,1,.203,.297,.422,.719,0,0,34,10
745117,home,139,Tampa Bay Rays,34,10,1,0,1,8,7,3,.269,.329,.418,.747,2,0,38,16
746091,away,134,Pittsburgh Pirates,34,10,3,0,0,7,9,7,.244,.358,.423,.781,0,0,43,17
746091,home,146,Miami Marlins,33,9,1,0,0,2,7,4,.230,.318,.270,.588,0,0,37,21
746412,away,147,New York Yankees,39,12,3,0,1,5,9,5,.286,.414,.429,.843,0,0,45,19
746412,home,117,Houston Astros,33,7,1,0,0,1,6,6,.282,.354,.352,.706,3,0,39,26
747223,away,115,Colorado Rockies,33,7,1,1,1,2,11,0,.175,.224,.302,.526,0,0,33,3
747223,home,109,Arizona Diamondbacks,36,14,2,0,3,7,2,4,.421,.464,.645,1.109,1,1,40,20
745682,away,114,Cleveland Guardians,34,9,4,0,1,5,9,6,.290,.390,.478,.868,2,2,40,16
745682,home,133,Oakland Athletics,32,8,2,0,2,4,5,2,.194,.224,.339,.563,0,0,36,13
745276,away,111,Boston Red Sox,31,4,0,0,0,0,13,3,.217,.270,.362,.632,1,0,34,12
745276,home,136,Seattle Mariners,28,4,0,0,1,1,14,2,.194,.242,.371,.613,1,0,30,7
745435,away,137,San Francisco Giants,38,13,2,0,2,8,7,2,.314,.355,.500,.855,0,0,42,14
745435,home,135,San Diego Padres,33,9,2,0,3,3,5,0,.290,.359,.435,.794,0,0,34,9
746167,away,138,St. Louis Cardinals,32,6,1,0,0,3,14,2,.143,.191,.206,.397,0,0,36,9
746167,home,119,Los Angeles Dodgers,30,7,1,0,4,6,9,2,.294,.387,.493,.880,0,0,32,6
745850,away,158,Milwaukee Brewers,44,15,1,0,1,6,12,1,.303,.333,.408,.741,4,0,45,24
745850,home,121,New York Mets,38,12,0,0,3,6,6,2,.200,.257,.385,.642,0,0,41,14
746818,away,116,Detroit Tigers,41,12,2,1,2,7,3,4,.247,.300,.384,.684,1,0,45,17
746818,home,145,Chicago White Sox,38,10,0,1,3,5,7,4,.191,.236,.353,.589,0,1,42,17
747063,away,108,Los Angeles Angels,36,9,0,1,1,4,13,1,.172,.221,.313,.534,0,0,37,15
747063,home,110,Baltimore Orioles,38,14,5,1,2,13,6,2,.338,.390,.634,1.024,0,0,41,8
745599,away,144,Atlanta Braves,42,18,4,0,4,12,5,3,.378,.433,.646,1.079,1,0,45,19
745599,home,143,Philadelphia Phillies,32,8,1,0,1,4,4,5,.203,.292,.313,.605,2,0,37,17
745684,away,114,Cleveland Guardians,41,15,4,1,1,11,6,5,.318,.409,.518,.927,6,0,50,23
745684,home,133,Oakland Athletics,32,6,1,0,0,3,14,6,.191,.271,.298,.569,1,0,40,19
746736,away,120,Washington Nationals,35,11,2,1,1,6,14,6,.254,.316,.403,.719,5,0,44,20
746736,home,113,Cincinnati Reds,34,10,2,0,2,6,8,3,.294,.351,.544,.895,2,2,37,8
745119,away,141,Toronto Blue Jays,31,6,0,0,0,1,10,3,.200,.287,.347,.634,0,0,34,18
745119,home,139,Tampa Bay Rays,32,11,1,0,1,5,6,4,.293,.351,.434,.785,2,0,38,18
746333,away,142,Minnesota Twins,32,7,3,0,0,5,6,3,.246,.354,.348,.702,1,1,40,21
746333,home,118,Kansas City Royals,31,5,2,0,0,1,11,3,.161,.212,.274,.486,0,1,34,11
746087,away,134,Pittsburgh Pirates,43,16,5,0,0,8,9,4,.289,.385,.446,.831,0,0,48,21
746087,home,146,Miami Marlins,33,5,1,0,0,3,13,2,.206,.283,.243,.526,0,0,35,6
745037,away,112,Chicago Cubs,29,5,0,0,1,2,8,2,.177,.268,.306,.574,0,0,31,9
745037,home,140,Texas Rangers,38,16,3,0,3,11,6,4,.333,.405,.611,1.016,1,0,43,21
745436,away,137,San Francisco Giants,35,9,2,0,2,9,10,3,.295,.336,.495,.831,0,0,40,6
745436,home,135,San Diego Padres,34,7,1,0,2,6,10,5,.273,.352,.430,.782,0,0,40,15
746410,away,147,New York Yankees,33,8,0,0,3,4,11,5,.272,.392,.456,.848,0,0,38,13
746410,home,117,Houston Astros,31,4,2,0,0,2,6,2,.235,.316,.304,.620,0,0,35,13
747221,away,115,Colorado Rockies,34,10,1,1,2,9,9,6,.216,.287,.392,.679,1,0,41,12
747221,home,109,Arizona Diamondbacks,31,8,1,0,2,4,5,9,.374,.452,.598,1.050,1,0,40,22
746168,away,138,St. Louis Cardinals,36,7,2,0,0,5,10,2,.162,.213,.222,.435,0,0,41,10
746168,home,119,Los Angeles Dodgers,43,14,1,0,1,5,14,4,.302,.386,.475,.861,0,0,47,27
745278,away,111,Boston Red Sox,36,7,2,0,0,3,13,3,.210,.265,.324,.589,0,1,39,10
745278,home,136,Seattle Mariners,36,7,0,0,0,4,12,2,.194,.240,.306,.546,0,0,38,12
747062,away,108,Los Angeles Angels,31,6,0,0,1,3,8,1,.179,.228,.305,.533,0,1,33,8
747062,home,110,Baltimore Orioles,30,3,0,0,0,1,9,5,.267,.347,.475,.822,0,0,36,14
745602,away,144,Atlanta Braves,33,7,2,0,1,4,14,1,.330,.379,.565,.944,0,0,34,7
745602,home,143,Philadelphia Phillies,31,9,0,0,1,4,9,3,.232,.318,.337,.655,1,0,35,16
746739,away,120,Washington Nationals,34,9,2,0,2,5,7,4,.257,.333,.436,.769,2,0,42,15
746739,home,113,Cincinnati Reds,36,14,3,1,2,6,7,3,.327,.381,.596,.977,1,1,39,18
745115,away,141,Toronto Blue Jays,36,10,1,0,2,8,9,8,.221,.322,.382,.704,0,0,44,17
745115,home,139,Tampa Bay Rays,31,3,0,0,2,2,6,2,.246,.310,.400,.710,1,0,34,10
746090,away,134,Pittsburgh Pirates,41,11,0,1,1,9,13,7,.284,.382,.432,.814,2,0,50,24
746090,home,146,Miami Marlins,37,7,1,0,3,7,11,4,.201,.280,.299,.579,0,0,41,9
745845,away,158,Milwaukee Brewers,33,9,4,0,0,4,10,6,.294,.355,.404,.759,3,0,41,21
745845,home,121,New York Mets,34,7,2,0,0,1,7,2,.202,.255,.343,.598,0,0,36,10
746332,away,142,Minnesota Twins,31,4,3,0,0,0,12,2,.210,.316,.310,.626,0,0,35,13
