gamePk,gameGuid,gameType,season,gameDate,officialDate,status,away_team_id,away_team_name,away_team_wins,away_team_losses,away_team_pct,away_score,away_isWinner,home_team_id,home_team_name,home_team_wins,home_team_losses,home_team_pct,home_score,home_isWinner,venue_id,venue_name,description,seriesDescription,seriesGameNumber,gamesInSeries,dayNight,scheduledInnings,isTie
745444,a3e8bd6d-f718-4643-a584-b034d18181d1,R,2024,2024-03-20T10:05:00Z,2024-03-20,Final,119,Los Angeles Dodgers,1,0,1.000,5.0,True,135,San Diego Padres,0,1,.000,2.0,False,5150,Gocheok Sky Dome,"in Seoul, South Korea",Regular Season,1,2,night,9,False
746175,b486e453-8c94-4cf6-b628-0947209ba6c9,R,2024,2024-03-21T10:05:00Z,2024-03-21,Final,135,San Diego Padres,1,1,.500,15.0,True,119,Los Angeles Dodgers,1,1,.500,11.0,False,5150,Gocheok Sky Dome,"in Seoul, South Korea",Regular Season,2,2,night,9,False
747060,c138642c-8c26-46dc-a7b8-1e5f8d1739e2,R,2024,2024-03-28T19:05:00Z,2024-03-28,Final,108,Los Angeles Angels,0,1,.000,3.0,False,110,Baltimore Orioles,1,0,1.000,11.0,True,2,Oriole Park at Camden Yards,Orioles home opener,Regular Season,1,3,day,9,False
746737,bec767a4-c174-4e4e-ba7e-a16759c76cd4,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,120,Washington Nationals,0,1,.000,2.0,False,113,Cincinnati Reds,1,0,1.000,8.0,True,2602,Great American Ball Park,Reds Home Opener,Regular Season,1,3,day,9,False
745445,36e1df7c-1e8c-406b-a4ac-0267d072fc96,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,137,San Francisco Giants,0,1,.000,4.0,False,135,San Diego Padres,2,1,.667,6.0,True,2680,Petco Park,Padres home opener,Regular Season,1,4,day,9,False
746165,b4013dcc-dca0-48eb-ad56-30438f1d0ab7,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,138,St. Louis Cardinals,0,1,.000,1.0,False,119,Los Angeles Dodgers,2,1,.667,7.0,True,22,Dodger Stadium,Dodgers home opener,Regular Season,1,4,day,9,False
745116,5528bad2-0f3e-40ec-b402-b6220641b359,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,141,Toronto Blue Jays,1,0,1.000,8.0,True,139,Tampa Bay Rays,0,1,.000,2.0,False,12,Tropicana Field,Rays home opener,Regular Season,1,4,day,9,False
746335,c27d2eaa-b6a2-4f74-871d-0731b63a994d,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,142,Minnesota Twins,1,0,1.000,4.0,True,118,Kansas City Royals,0,1,.000,1.0,False,7,Kauffman Stadium,Royals home opener,Regular Season,1,3,day,9,False
746821,7a23b1e5-fcd2-4019-837f-faf69d71534c,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,116,Detroit Tigers,1,0,1.000,1.0,True,145,Chicago White Sox,0,1,.000,0.0,False,4,Guaranteed Rate Field,White Sox home opener,Regular Season,1,3,day,9,False
746089,8d80c95a-79c6-4d16-b9dc-84e562cb0529,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,134,Pittsburgh Pirates,1,0,1.000,6.0,True,146,Miami Marlins,0,1,.000,5.0,False,4169,loanDepot park,Marlins home opener,Regular Season,1,4,day,9,False
746418,1c012ea7-4e4c-4c2a-913b-f8a61d1356c4,R,2024,2024-03-28T20:10:00Z,2024-03-28,Final,147,New York Yankees,1,0,1.000,5.0,True,117,Houston Astros,0,1,.000,4.0,False,2392,Minute Maid Park,Astros home opener,Regular Season,1,4,day,9,False
745039,e0febe34-dc9d-4be5-871c-4a50a0bddcaf,R,2024,2024-03-28T23:35:00Z,2024-03-28,Final,112,Chicago Cubs,0,1,.000,3.0,False,140,Texas Rangers,1,0,1.000,4.0,True,5325,Globe Life Field,Rangers home opener,Regular Season,1,3,night,9,False
745687,a0418394-05fd-432c-8657-236fe38af160,R,2024,2024-03-29T02:07:00Z,2024-03-28,Final,114,Cleveland Guardians,1,0,1.000,8.0,True,133,Oakland Athletics,0,1,.000,0.0,False,10,Oakland Coliseum,Athletics home opener,Regular Season,1,4,night,9,False
747224,9aab0edc-54d4-4907-a455-37b30ed92b75,R,2024,2024-03-29T02:10:00Z,2024-03-28,Final,115,Colorado Rockies,0,1,.000,1.0,False,109,Arizona Diamondbacks,1,0,1.000,16.0,True,15,Chase Field,D-backs home opener,Regular Season,1,4,night,9,False
745283,872a54f5-34cf-42c9-9864-629491744074,R,2024,2024-03-29T02:10:00Z,2024-03-28,Final,111,Boston Red Sox,1,0,1.000,6.0,True,136,Seattle Mariners,0,1,.000,4.0,False,680,T-Mobile Park,Mariners home opener,Regular Season,1,4,night,9,False
745848,51744afe-485d-4bbf-8370-cbe280528a43,R,2024,2024-03-28T17:10:00Z,2024-03-29,Postponed,158,Milwaukee Brewers,1,0,1.000,,,121,New York Mets,0,1,.000,,,3289,Citi Field,Mets home opener; makeup 3/29,Regular Season,1,3,day,9,
745604,dad8a346-7540-45af-ac82-1c9df09e42b3,R,2024,2024-03-28T19:05:00Z,2024-03-29,Postponed,144,Atlanta Braves,1,0,1.000,,,143,Philadelphia Phillies,0,1,.000,,,2681,Citizens Bank Park,Phillies home opener; makeup 3/29,Regular Season,1,3,day,9,
745848,51744afe-485d-4bbf-8370-cbe280528a43,R,2024,2024-03-29T17:40:00Z,2024-03-29,Final,158,Milwaukee Brewers,1,0,1.000,3.0,True,121,New York Mets,0,1,.000,1.0,False,3289,Citi Field,Mets home opener; makeup of 3/28 PPD,Regular Season,1,3,day,9,False
745604,dad8a346-7540-45af-ac82-1c9df09e42b3,R,2024,2024-03-29T19:05:00Z,2024-03-29,Final,144,Atlanta Braves,1,0,1.000,9.0,True,143,Philadelphia Phillies,0,1,.000,3.0,False,2681,Citizens Bank Park,Phillies home opener; makeup of 3/28 PPD,Regular Season,1,3,day,9,False
745117,33c7f962-5262-4919-a3d7-10bf03d0ef3b,R,2024,2024-03-29T22:50:00Z,2024-03-29,Final,141,Toronto Blue Jays,1,1,.500,2.0,False,139,Tampa Bay Rays,1,1,.500,8.0,True,12,Tropicana Field,,Regular Season,2,4,night,9,False
746091,953fa24c-0eeb-4667-8bf6-1ce17a54d0f1,R,2024,2024-03-29T23:10:00Z,2024-03-29,Final,134,Pittsburgh Pirates,2,0,1.000,7.0,True,146,Miami Marlins,0,2,.000,2.0,False,4169,loanDepot park,,Regular Season,2,4,night,9,False
746412,e6191d49-c226-4d6d-ad5d-fef774b0a27b,R,2024,2024-03-30T00:10:00Z,2024-03-29,Final,147,New York Yankees,2,0,1.000,7.0,True,117,Houston Astros,0,2,.000,1.0,False,2392,Minute Maid Park,,Regular Season,2,4,night,9,False
747223,cf3ba4a2-a759-421f-82fe-d81727356482,R,2024,2024-03-30T01:40:00Z,2024-03-29,Final,115,Colorado Rockies,0,2,.000,3.0,False,109,Arizona Diamondbacks,2,0,1.000,7.0,True,15,Chase Field,,Regular Season,2,4,night,9,False
745682,15861b00-a14c-4033-ac83-1b7e19550b6c,R,2024,2024-03-30T01:40:00Z,2024-03-29,Final,114,Cleveland Guardians,2,0,1.000,6.0,True,133,Oakland Athletics,0,2,.000,4.0,False,10,Oakland Coliseum,,Regular Season,2,4,night,9,False
745276,f7ad23a5-3661-4384-8738-42314a7bf3b1,R,2024,2024-03-30T01:40:00Z,2024-03-29,Final,111,Boston Red Sox,1,1,.500,0.0,False,136,Seattle Mariners,1,1,.500,1.0,True,680,T-Mobile Park,,Regular Season,2,4,night,9,False
