gamePk,team_side,team_id,team_name,inningsPitched,outs,runs,earnedRuns,hits,homeRuns,strikeOuts,baseOnBalls,hitBatsmen,numberOfPitches,balls,strikes,strikePercentage,groundOuts,flyOuts,completeGames,shutouts,saveOpportunities
745444,away,119,Los Angeles Dodgers,9.0,27,2,2,4,0,6,4,0,127,45,82,.650,11,6,0,0,0
745444,home,135,San Diego Padres,9.0,27,5,3,7,0,7,9,1,173,73,100,.580,9,9,0,0,0
746175,away,135,San Diego Padres,9.0,27,11,11,16,1,9,6,1,191,72,119,.620,8,6,0,0,0
746175,home,119,Los Angeles Dodgers,9.0,27,15,14,18,1,8,6,2,194,75,119,.610,8,6,0,0,0
747060,away,108,Los Angeles Angels,8.0,24,11,9,10,2,5,6,0,180,77,103,.570,10,6,0,0,0
747060,home,110,Baltimore Orioles,9.0,27,3,2,2,1,14,3,0,138,55,83,.600,6,3,0,0,0
746737,away,120,Washington Nationals,8.0,24,8,8,10,2,9,2,1,128,45,83,.650,5,4,0,0,0
746737,home,113,Cincinnati Reds,9.0,27,2,2,6,1,9,0,0,136,47,89,.650,7,2,0,0,0
745445,away,137,San Francisco Giants,8.0,24,6,6,9,0,7,3,0,140,52,88,.630,12,1,0,0,0
745445,home,135,San Diego Padres,9.0,27,4,4,9,1,10,1,0,131,39,92,.700,7,5,0,0,0
746165,away,138,St. Louis Cardinals,8.0,24,7,7,10,2,10,4,0,134,45,89,.660,5,4,0,0,0
746165,home,119,Los Angeles Dodgers,9.0,27,1,1,3,1,6,1,0,125,48,77,.620,4,10,0,0,0
745116,away,141,Toronto Blue Jays,9.0,27,2,2,8,1,11,2,0,142,51,91,.640,8,2,0,0,0
745116,home,139,Tampa Bay Rays,9.0,27,8,8,7,3,7,7,1,149,61,88,.590,9,7,0,0,0
746335,away,142,Minnesota Twins,9.0,27,1,1,5,1,8,1,0,119,36,83,.700,9,6,0,0,0
746335,home,118,Kansas City Royals,9.0,27,4,4,10,1,12,5,0,158,56,102,.650,7,5,0,0,0
746821,away,116,Detroit Tigers,9.0,27,0,0,3,0,11,0,0,113,31,82,.730,6,4,0,1,0
746821,home,145,Chicago White Sox,9.0,27,1,1,6,0,11,1,1,133,44,89,.670,7,3,0,0,0
746089,away,134,Pittsburgh Pirates,12.0,36,5,4,8,0,7,4,2,138,35,103,.750,16,6,0,0,0
746089,home,146,Miami Marlins,12.0,36,6,5,9,3,17,8,0,213,86,127,.600,11,4,0,0,0
746418,away,147,New York Yankees,9.0,27,4,4,13,1,7,2,0,123,38,85,.690,8,6,0,0,0
746418,home,117,Houston Astros,9.0,27,5,5,8,1,10,9,1,171,78,93,.540,10,1,0,0,0
745039,away,112,Chicago Cubs,9.2,29,4,3,8,2,10,6,0,161,56,105,.650,9,6,0,0,0
745039,home,140,Texas Rangers,10.0,30,3,3,6,0,8,5,1,169,67,102,.600,11,7,0,0,0
745687,away,114,Cleveland Guardians,9.0,27,0,0,4,0,13,1,0,121,40,81,.670,6,4,0,1,0
745687,home,133,Oakland Athletics,9.0,27,8,8,11,0,7,3,3,168,67,101,.600,7,4,0,0,0
747224,away,115,Colorado Rockies,8.0,24,16,16,18,1,9,3,0,160,54,106,.660,8,5,0,0,0
747224,home,109,Arizona Diamondbacks,9.0,27,1,1,4,0,6,3,1,137,54,83,.610,12,4,0,0,0
745283,away,111,Boston Red Sox,9.0,27,4,4,8,2,9,1,1,149,56,93,.620,10,2,0,0,0
745283,home,136,Seattle Mariners,9.0,27,6,6,11,2,7,2,0,154,53,101,.660,8,5,0,0,0
745848,away,158,Milwaukee Brewers,9.0,27,1,1,1,1,10,2,0,128,47,81,.630,6,4,0,0,0
745848,home,121,New York Mets,9.0,27,3,3,8,1,7,3,0,142,61,81,.570,7,7,0,0,0
745604,away,144,Atlanta Braves,9.0,27,3,3,5,1,15,3,0,144,48,96,.670,8,1,0,0,0
745604,home,143,Philadelphia Phillies,9.0,27,9,9,13,0,10,5,0,175,66,109,.620,9,2,0,0,0
745848,away,158,Milwaukee Brewers,9.0,27,1,1,1,1,10,2,0,128,47,81,.630,6,4,0,0,0
745848,home,121,New York Mets,9.0,27,3,3,8,1,7,3,0,142,61,81,.570,7,7,0,0,0
745604,away,144,Atlanta Braves,9.0,27,3,3,5,1,15,3,0,144,48,96,.670,8,1,0,0,0
745604,home,143,Philadelphia Phillies,9.0,27,9,9,13,0,10,5,0,175,66,109,.620,9,2,0,0,0
745117,away,141,Toronto Blue Jays,8.0,24,8,7,10,1,7,3,1,154,48,106,.690,12,4,0,0,0
745117,home,139,Tampa Bay Rays,9.0,27,2,2,6,1,7,1,0,136,50,86,.630,8,7,0,0,0
746091,away,134,Pittsburgh Pirates,9.0,27,2,2,9,0,7,4,0,166,65,101,.610,12,3,0,0,0
746091,home,146,Miami Marlins,9.0,27,7,7,10,0,9,7,0,172,68,104,.600,6,6,0,0,0
746412,away,147,New York Yankees,9.0,27,1,1,7,0,6,6,0,158,59,99,.630,5,8,0,0,0
746412,home,117,Houston Astros,9.0,27,7,5,12,1,9,5,1,177,68,109,.620,9,5,0,0,0
747223,away,115,Colorado Rockies,8.0,24,7,7,14,3,2,4,0,147,57,90,.610,9,7,0,0,0
747223,home,109,Arizona Diamondbacks,9.0,27,3,3,7,1,11,0,0,122,34,88,.720,8,5,0,0,0
745682,away,114,Cleveland Guardians,9.0,27,4,4,8,2,5,2,0,139,50,89,.640,12,2,0,0,0
745682,home,133,Oakland Athletics,9.0,27,6,5,9,1,9,6,0,160,64,96,.600,6,3,0,0,0
745276,away,111,Boston Red Sox,8.0,24,1,1,4,1,14,2,0,125,46,79,.630,4,2,0,0,0
745276,home,136,Seattle Mariners,9.0,27,0,0,4,0,13,3,0,141,51,90,.640,6,4,0,1,0
745435,away,137,San Francisco Giants,9.0,27,3,3,9,3,5,0,1,123,41,82,.670,6,7,0,0,0
745435,home,135,San Diego Padres,9.0,27,8,8,13,2,7,2,2,156,50,106,.680,9,5,0,0,0
746167,away,138,St. Louis Cardinals,8.0,24,6,6,7,4,9,2,0,119,38,81,.680,7,3,0,0,0
746167,home,119,Los Angeles Dodgers,9.0,27,3,3,6,0,14,2,1,146,48,98,.670,6,3,0,0,0
745850,away,158,Milwaukee Brewers,9.0,27,6,6,12,3,6,2,1,148,48,100,.680,8,7,0,0,0
745850,home,121,New York Mets,9.0,27,7,4,15,1,12,1,0,159,41,118,.740,8,5,0,0,0
746818,away,116,Detroit Tigers,10.0,30,6,6,10,3,7,4,0,177,70,107,.600,8,7,0,0,0
746818,home,145,Chicago White Sox,10.0,30,7,6,12,2,3,4,0,152,53,99,.650,13,7,0,0,0
747063,away,108,Los Angeles Angels,8.0,24,13,12,14,2,6,2,0,169,63,106,.630,4,9,0,0,0
747063,home,110,Baltimore Orioles,9.0,27,4,4,9,1,13,1,0,154,52,102,.660,6,6,0,0,0
745599,away,144,Atlanta Braves,9.0,27,4,4,8,1,4,5,0,139,53,86,.620,11,4,0,0,0
745599,home,143,Philadelphia Phillies,9.0,27,12,11,18,4,5,3,0,168,59,109,.650,14,3,0,0,0
745684,away,114,Cleveland Guardians,9.0,27,3,3,6,0,14,6,2,164,68,96,.590,5,2,0,0,0
745684,home,133,Oakland Athletics,9.0,27,12,10,15,1,6,5,2,189,66,123,.650,6,13,0,0,0
746736,away,120,Washington Nationals,9.0,27,6,6,10,2,8,3,0,139,49,90,.650,10,2,0,0,0
746736,home,113,Cincinnati Reds,9.0,27,7,7,11,1,14,6,1,183,71,112,.610,6,2,0,0,0
745119,away,141,Toronto Blue Jays,8.0,24,5,5,11,1,6,4,0,161,57,104,.650,8,4,0,0,0
745119,home,139,Tampa Bay Rays,9.0,27,1,1,6,0,10,3,0,142,48,94,.660,7,3,0,0,0
746333,away,142,Minnesota Twins,9.0,27,1,1,5,0,11,3,0,141,44,97,.690,4,5,0,0,0
746333,home,118,Kansas City Royals,9.0,27,5,5,7,0,6,3,4,146,51,95,.650,10,5,0,0,0
746087,away,134,Pittsburgh Pirates,9.0,27,3,3,5,0,13,2,0,127,38,89,.700,8,3,0,0,0
746087,home,146,Miami Marlins,9.0,27,9,8,16,0,9,4,1,197,71,126,.640,9,7,0,0,0
745037,away,112,Chicago Cubs,8.0,24,11,11,16,3,6,4,0,157,58,99,.630,9,6,0,0,0
745037,home,140,Texas Rangers,9.0,27,2,2,5,1,8,2,0,124,48,76,.610,7,4,0,0,0
745436,away,137,San Francisco Giants,9.0,27,6,6,7,2,10,5,1,163,63,100,.610,9,1,0,0,0
745436,home,135,San Diego Padres,9.0,27,9,8,9,2,10,3,0,164,59,105,.640,6,6,0,0,0
746410,away,147,New York Yankees,9.0,27,3,0,4,0,6,2,2,132,52,80,.610,14,5,0,0,0
746410,home,117,Houston Astros,9.0,27,5,4,8,3,11,5,0,177,69,108,.610,8,4,0,0,0
747221,away,115,Colorado Rockies,9.0,27,4,4,8,2,5,9,0,184,75,109,.590,11,4,0,0,0
747221,home,109,Arizona Diamondbacks,9.0,27,9,9,10,2,9,6,0,165,55,110,.670,8,3,0,0,0
746168,away,138,St. Louis Cardinals,10.0,30,5,5,14,1,14,4,0,204,77,127,.620,2,10,0,0,0
746168,home,119,Los Angeles Dodgers,10.0,30,6,4,7,0,10,2,1,146,47,99,.680,8,5,0,0,0
745278,away,111,Boston Red Sox,9.1,28,4,1,7,0,12,2,0,152,57,95,.630,8,4,0,0,0
745278,home,136,Seattle Mariners,10.0,30,3,2,7,0,13,3,0,143,46,97,.680,7,6,0,0,0
747062,away,108,Los Angeles Angels,9.0,27,1,1,3,0,9,5,1,134,51,83,.620,7,6,0,0,0
747062,home,110,Baltimore Orioles,9.0,27,4,3,6,1,8,1,1,118,37,81,.690,10,6,0,0,0
745602,away,144,Atlanta Braves,8.0,24,5,5,9,1,9,3,1,126,41,85,.670,6,4,0,0,0
745602,home,143,Philadelphia Phillies,9.0,27,4,4,7,1,14,1,0,149,49,100,.670,7,2,0,0,0
746739,away,120,Washington Nationals,8.2,26,6,6,14,2,7,3,0,143,53,90,.630,10,1,0,0,0
746739,home,113,Cincinnati Reds,9.0,27,5,5,9,2,7,4,2,161,55,106,.660,7,7,0,0,0
745115,away,141,Toronto Blue Jays,9.0,27,2,2,3,2,6,2,1,140,45,95,.680,10,7,0,0,0
745115,home,139,Tampa Bay Rays,9.0,27,9,8,10,2,9,8,0,175,68,107,.610,5,7,0,0,0
746090,away,134,Pittsburgh Pirates,10.0,30,7,7,7,3,11,4,0,144,53,91,.630,8,6,0,0,0
746090,home,146,Miami Marlins,10.0,30,9,7,11,1,13,7,0,204,79,125,.610,7,6,0,0,0
745845,away,158,Milwaukee Brewers,9.0,27,1,1,7,0,7,2,0,132,41,91,.690,7,7,0,0,0
