away_team_wins,away_team_losses,away_team_pct,home_team_wins,home_team_losses,home_team_pct,venue_name,seriesGameNumber,gamesInSeries,dayNight,is_last_game_of_series,series_progress,home_avg_last_5,home_ops_last_5,home_hr_rate_last_5,home_strikeout_rate_last_5,home_walk_rate_last_5,home_stolen_success_last_5,away_avg_last_5,away_ops_last_5,away_hr_rate_last_5,away_strikeout_rate_last_5,away_walk_rate_last_5,away_stolen_success_last_5,home_batting_player_avg,home_batting_player_OPS,home_batting_player_K_rate,home_batting_player_BB_rate,home_batting_player_productive_outs,home_batting_player_homeRuns,home_batting_player_hits,home_batting_player_rbi,home_batting_player_doubles,home_batting_player_triples,home_batting_player_singles,away_batting_player_avg,away_batting_player_OPS,away_batting_player_K_rate,away_batting_player_BB_rate,away_batting_player_productive_outs,away_batting_player_homeRuns,away_batting_player_hits,away_batting_player_rbi,away_batting_player_doubles,away_batting_player_triples,away_batting_player_singles,home_team_name,home_ip_last_5,home_runs_allowed_last_5,home_er_last_5,home_so_last_5,home_bb_last_5,home_hr_allowed_last_5,away_team_name,away_ip_last_5,away_runs_allowed_last_5,away_er_last_5,away_so_last_5,away_bb_last_5,away_hr_allowed_last_5,home_pitching_player_ERA,home_pitching_player_WHIP,home_pitching_player_K_per9,home_pitching_player_BB_per9,home_pitching_player_HR_per9,home_pitching_player_pitches_per_inning,home_pitching_player_strike_to_ball_ratio,away_pitching_player_ERA,away_pitching_player_WHIP,away_pitching_player_K_per9,away_pitching_player_BB_per9,away_pitching_player_HR_per9,away_pitching_player_pitches_per_inning,away_pitching_player_strike_to_ball_ratio,target
1,0,1.0,0,1,0.0,Other,1,2,night,0,0.5,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.5,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.5,0.15,0.3833333333333333,0.2416666666666666,0.1166666666666666,0,0,4,1,0,0,4,0.1683333333333333,0.5216666666666667,0.1533333333333333,0.1933333333333333,2,0,7,4,0,0,7,San Diego Padres,8.862327656123277,0.0,0.0,0.0,0.0,0.0,Los Angeles Dodgers,8.862327656123277,0.0,0.0,0.0,0.0,0.0,23.625,5.8203125,10.0546875,22.4296875,0.0,43.5625,1.6895833333333334,0.72,0.64,6.48,1.44,0.0,13.080000000000002,3.0061904761904765,0
1,1,0.5,1,1,0.5,Other,2,2,night,1,1.0,0.212,0.59,0.0,7.0,9.0,0.0,0.133,0.368,0.0,6.0,4.0,0.5,0.3388888888888888,0.9203703703703704,0.1777777777777777,0.1222222222222222,1,1,16,11,3,0,12,0.406060606060606,1.0363636363636364,0.153030303030303,0.0984848484848484,2,1,18,14,3,1,13,Los Angeles Dodgers,9.0,2.0,2.0,6.0,4.0,0.0,San Diego Padres,9.0,5.0,3.0,7.0,9.0,0.0,14.785714285714286,2.642857142857143,8.785714285714286,6.642857142857143,1.2857142857142858,24.45238095238096,1.7212322807911045,34.860703812316714,7.043010752688172,6.510263929618769,10.31524926686217,0.4838709677419355,47.21407624633431,2.2896148989898992,0
0,1,0.0,1,0,1.0,Oriole Park at Camden Yards,1,3,day,0,0.3333333333333333,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.5,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.5,0.35,1.0666666666666669,0.105,0.13,2,2,10,11,2,0,6,0.1111111111111111,0.4652777777777777,0.4444444444444444,0.0763888888888888,0,1,2,2,1,0,0,Baltimore Orioles,8.862327656123277,0.0,0.0,0.0,0.0,0.0,Los Angeles Angels,8.862327656123277,0.0,0.0,0.0,0.0,0.0,2.625,1.0416666666666667,10.875,6.75,0.375,17.416666666666664,1.2661401098901095,33.1875,5.720833333333333,5.925,23.3625,9.5625,52.0125,1.2854575163398692,1
0,1,0.0,1,0,1.0,Great American Ball Park,1,3,day,0,0.3333333333333333,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.5,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.5,0.3055555555555556,0.914814814814815,0.25,0.05,0,2,10,8,3,0,5,0.1944444444444444,0.5,0.2592592592592593,0.0,0,1,6,2,0,0,5,Cincinnati Reds,8.862327656123277,0.0,0.0,0.0,0.0,0.0,Washington Nationals,8.862327656123277,0.0,0.0,0.0,0.0,0.0,6.0,0.8888888888888888,11.0,0.0,3.0,17.666666666666668,1.9036796536796536,4.95,0.9,8.1,0.9,0.9,13.6,2.1785714285714284,1
0,1,0.0,2,1,0.667,Petco Park,1,4,day,0,0.25,0.217,0.585,0.5,7.0,5.0,0.6666666666666666,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.625,0.2424242424242424,0.5757575757575757,0.2651515151515151,0.0757575757575757,0,0,9,5,1,0,8,0.275,0.7,0.275,0.025,2,1,9,4,2,0,6,San Diego Padres,9.0,8.0,7.0,8.0,7.5,0.5,San Francisco Giants,8.862327656123277,0.0,0.0,0.0,0.0,0.0,38.16,6.44,7.92,0.36,1.8,34.653333333333336,3.795428571428572,4.0,1.0555555555555556,8.5,1.0,0.0,14.722222222222223,1.6944444444444444,1
0,1,0.0,2,1,0.667,Dodger Stadium,1,4,day,0,0.25,0.2595,0.6990000000000001,0.5,8.0,7.5,0.8571428571428571,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.8333333333333334,0.2777777777777777,0.8402777777777777,0.2847222222222222,0.0833333333333333,1,2,10,7,2,0,6,0.0833333333333333,0.2777777777777778,0.1944444444444444,0.0277777777777777,0,1,3,1,0,0,2,Los Angeles Dodgers,9.0,8.5,8.0,7.0,5.0,0.5,St. Louis Cardinals,8.862327656123277,0.0,0.0,0.0,0.0,0.0,0.75,0.4166666666666666,5.25,0.75,0.75,14.083333333333332,1.762605042016807,6.868902439024391,1.7154471544715448,13.24390243902439,5.597560975609756,1.0975609756097562,18.595528455284555,2.628461538461538,1
1,0,1.0,0,1,0.0,Tropicana Field,1,4,day,0,0.25,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,1.0,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.875,0.2916666666666666,0.8666666666666666,0.2916666666666666,0.0583333333333333,0,1,8,2,3,0,4,0.2351851851851852,0.9574074074074076,0.1777777777777777,0.1833333333333333,0,3,7,8,1,0,3,Tampa Bay Rays,8.862327656123277,0.0,0.0,0.0,0.0,0.0,Toronto Blue Jays,8.862327656123277,0.0,0.0,0.0,0.0,0.0,6.687062937062937,2.0183566433566438,6.254370629370629,13.523601398601398,1.298076923076923,20.23513986013986,1.2997159090909092,0.75,1.0416666666666667,13.5,2.625,0.375,16.541666666666664,1.7817708333333333,0
1,0,1.0,0,1,0.0,Kauffman Stadium,1,3,day,0,0.3333333333333333,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,1.0,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,1.0,0.1666666666666666,0.5,0.2407407407407407,0.0277777777777777,0,1,5,1,2,0,2,0.3125,0.8347222222222223,0.2541666666666666,0.0986111111111111,0,1,10,3,1,0,8,Kansas City Royals,8.862327656123277,0.0,0.0,0.0,0.0,0.0,Minnesota Twins,8.862327656123277,0.0,0.0,0.0,0.0,0.0,5.25,2.083333333333333,10.125,5.625,0.375,19.291666666666668,1.657258064516129,0.4285714285714285,0.8571428571428571,6.0,3.0,0.4285714285714285,15.666666666666666,2.018978605935128,0
1,0,1.0,0,1,0.0,Guaranteed Rate Field,1,3,day,0,0.3333333333333333,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.75,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.6666666666666666,0.1018518518518518,0.2037037037037037,0.3611111111111111,0.0,0,0,3,0,0,0,3,0.1944444444444444,0.3981481481481481,0.2916666666666666,0.025,1,0,6,1,0,0,6,Chicago White Sox,8.862327656123277,0.0,0.0,0.0,0.0,0.0,Detroit Tigers,8.862327656123277,0.0,0.0,0.0,0.0,0.0,0.375,0.7083333333333334,9.75,2.25,0.0,15.125,2.019871794871795,0.0,0.125,31.09090909090909,0.0,0.0,21.685606060606062,3.53125,0
1,0,1.0,0,1,0.0,loanDepot park,1,4,day,0,0.25,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.8571428571428571,0.2415727014985824,0.7049771162413933,0.0,0.0,0.0,0.8333333333333334,0.1625,0.4555555555555555,0.1694444444444444,0.0888888888888888,1,0,8,5,2,0,6,0.2393939393939393,1.0287878787878788,0.3242424242424242,0.1515151515151515,0,3,9,6,2,0,4,Miami Marlins,8.862327656123277,0.0,0.0,0.0,0.0,0.0,Pittsburgh Pirates,8.862327656123277,0.0,0.0,0.0,0.0,0.0,14.657142857142857,6.685714285714285,32.91428571428572,18.085714285714285,7.971428571428571,57.095238095238095,1.9709235209235207,0.9890109890109888,1.1043956043956045,10.793706293706292,1.7802197802197803,0.0,14.796203796203796,3.9791666666666665,0
